Time	Grain1	Grain2	Grain3	Grain4	Grain5	Grain6	Grain7	Grain8	Grain9	Grain10	Grain11	Grain12	Grain13	Grain14	Grain15	Grain16	Grain17	Grain18	Grain19	Grain20	Grain21	Grain22	Grain23	Grain24	Grain25	Grain26	Grain27	Grain28	Grain29	Grain30	Grain31	Grain32	Grain33	Grain34	Grain35	Grain36	Grain37	Grain38	Grain39	Grain40	Grain41	Grain42	Grain43	Grain44	Grain45	Grain46	Grain47	Grain48	Grain49	Grain50	Grain51	Grain52	Grain53	Grain54	Grain55	Grain56	Grain57	Grain58	Grain59	Grain60	Grain61	Grain62	Grain63	Grain64	Grain65	Grain66	Grain67	Grain68	Grain69	Grain70	Grain71	Grain72	Grain73	Grain74	Grain75	Grain76	Grain77	Grain78	Grain79	Grain80	Grain81	Grain82	Grain83	Grain84	Grain85	Grain86	Grain87	Grain88	Grain89	Grain90	Grain91	Grain92	Grain93	Grain94	Grain95	Grain96	Grain97	Grain98	Grain99	Grain100
0	3.47156e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5e-06	3.38631e-05	5.29833e-09	3.80415e-17	7.17385e-31	1.13195e-52	1.8764e-86	3.98186e-138	1.35553e-216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e-05	3.01428e-05	1.61035e-07	2.13259e-13	9.82287e-24	1.85668e-40	1.27215e-66	7.16304e-107	3.33014e-168	3.91367e-261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.5e-05	2.34368e-05	1.09251e-06	3.1517e-11	1.39914e-19	2.45931e-33	4.7456e-55	1.25866e-88	5.97119e-140	7.22601e-218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2e-05	1.52871e-05	3.80351e-06	1.01468e-09	1.16033e-16	2.58719e-28	7.0471e-47	9.85502e-76	5.6426e-120	2.8577e-187	3.9682e-289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.5e-05	7.95183e-06	8.73162e-06	1.36958e-08	1.96604e-14	1.8619e-24	1.3781e-40	8.55658e-66	1.44244e-104	1.16381e-163	3.24403e-253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3e-05	3.02854e-06	1.46641e-05	1.03214e-07	1.1856e-12	2.38191e-21	1.67795e-35	9.55406e-58	4.44284e-92	1.63593e-144	4.43524e-224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.5e-05	6.84632e-07	1.89115e-05	5.04094e-07	3.41153e-11	8.99043e-19	2.90407e-31	5.0497e-51	1.24211e-81	1.75051e-128	1.12023e-199	2.25883e-307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4e-05	3.04442e-08	1.91423e-05	1.73899e-06	5.56925e-10	1.35263e-16	1.16733e-27	2.74384e-45	1.04884e-72	8.99632e-115	8.61029e-179	1.00169e-275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.5e-05	4.33988e-08	1.52912e-05	4.46873e-06	5.75969e-09	9.84137e-15	1.49478e-24	2.52565e-40	5.80219e-65	7.27403e-103	1.22423e-160	3.31102e-248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5e-05	1.42233e-07	9.55928e-06	8.85106e-06	4.06531e-08	3.95031e-13	7.56693e-22	5.54037e-36	3.56962e-58	2.08169e-92	1.10509e-144	5.27559e-224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.5e-05	1.74837e-07	4.56256e-06	1.38141e-05	2.06372e-07	9.61121e-12	1.7676e-19	3.6987e-32	3.5677e-52	3.76803e-83	1.5312e-130	1.54156e-202	1.95996e-311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e-05	1.75421e-07	1.59658e-06	1.72243e-05	7.82733e-07	1.51987e-10	2.13792e-17	9.01571e-29	7.68103e-47	6.64475e-75	6.27992e-118	2.23145e-183	1.87532e-282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.5e-05	1.75421e-07	3.6258e-07	1.72851e-05	2.28166e-06	1.6477e-09	1.46293e-15	9.23128e-26	4.42536e-42	1.59111e-67	1.26258e-106	3.43223e-166	1.92331e-256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7e-05	1.75421e-07	3.02019e-08	1.39795e-05	5.22071e-06	1.27676e-08	6.07413e-14	4.43601e-23	8.09989e-38	6.72509e-61	1.8533e-96	1.02455e-150	5.244e-233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.5e-05	1.75421e-07	3.22445e-09	9.0594e-06	9.52397e-06	7.30978e-08	1.61931e-12	1.09444e-20	5.41159e-34	6.2034e-55	2.74083e-87	9.6573e-137	7.91771e-212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8e-05	1.75421e-07	2.33685e-08	4.63277e-06	1.40055e-05	3.1757e-07	2.90363e-11	1.49302e-18	1.48012e-30	1.48782e-49	5.3263e-79	4.29364e-124	1.21204e-192	2.2934e-296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.5e-05	1.75421e-07	3.14591e-08	1.81172e-06	1.67189e-05	1.06964e-06	3.64003e-10	1.19849e-16	1.82484e-27	1.07475e-44	1.69966e-71	1.26068e-112	3.1233e-175	4.84166e-270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e-05	1.75421e-07	3.1817e-08	5.10364e-07	1.62538e-05	2.84166e-06	3.29544e-09	5.9683e-15	1.10085e-24	2.65008e-40	1.07663e-64	3.25496e-102	2.08536e-159	4.23422e-246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.5e-05	1.75421e-07	3.1817e-08	8.80751e-08	1.28622e-05	6.03584e-06	2.21437e-08	1.92934e-13	3.48725e-22	2.48451e-36	1.59401e-58	9.4561e-93	5.22924e-145	2.68073e-224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0001	1.75421e-07	3.1817e-08	3.77685e-09	8.24401e-06	1.03573e-05	1.13019e-07	4.2104e-12	6.16811e-20	9.72736e-33	6.35849e-53	3.83027e-84	6.80111e-132	1.99624e-204	4.01999e-314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000105	1.75421e-07	3.1817e-08	2.28881e-09	4.2325e-06	1.44653e-05	4.46758e-07	6.41745e-11	6.42807e-18	1.72688e-29	7.74106e-48	2.61082e-76	6.089e-120	2.67589e-186	9.83827e-287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00011	1.75421e-07	3.1817e-08	7.40876e-09	1.70383e-06	1.6519e-05	1.39019e-06	7.03691e-10	4.13837e-16	1.49486e-26	3.21116e-43	3.53592e-69	4.81861e-109	9.40235e-170	1.01889e-261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000115	1.75421e-07	3.1817e-08	8.69318e-09	5.158e-07	1.5452e-05	3.45123e-06	5.696e-09	1.71625e-14	6.73017e-24	5.00537e-39	1.10285e-62	4.20908e-99	1.20926e-154	7.37268e-239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00012	1.75421e-07	3.1817e-08	8.70309e-09	1.07545e-07	1.18249e-05	6.90939e-06	3.48051e-08	4.75841e-13	1.66927e-21	3.19941e-35	9.03807e-57	4.94876e-90	7.67015e-141	5.83269e-218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000125	1.75421e-07	3.1817e-08	8.70309e-09	1.13499e-08	7.36924e-06	1.12475e-05	1.6368e-07	9.11555e-12	2.40139e-19	9.06935e-32	2.19037e-51	9.35651e-82	3.13468e-128	7.53732e-199	1.12511e-305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00013	1.75421e-07	3.1817e-08	8.70309e-09	1.66124e-13	3.7061e-06	1.49747e-05	6.02318e-07	1.24237e-10	2.09841e-17	1.22334e-28	1.74599e-46	3.33864e-74	1.04998e-116	2.28339e-181	2.92126e-279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000135	1.75421e-07	3.1817e-08	8.70309e-09	1.63808e-09	1.48001e-06	1.63622e-05	1.75881e-06	1.23628e-09	1.16099e-15	8.36686e-26	5.03895e-42	2.59792e-67	3.58165e-106	2.2469e-165	4.43635e-255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00014	1.75421e-07	3.1817e-08	8.70309e-09	2.63974e-09	4.55524e-07	1.46868e-05	4.12309e-06	9.19012e-09	4.22158e-14	3.07288e-23	5.74284e-38	5.02421e-61	1.51443e-96	9.64701e-151	6.13659e-233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000145	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	1.01616e-07	1.08124e-05	7.83239e-06	5.20697e-08	1.04326e-12	6.38333e-21	2.7963e-34	2.71889e-55	9.48587e-88	2.36172e-137	1.15536e-212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00015	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	1.39594e-08	6.4996e-06	1.21428e-05	2.28828e-07	1.80573e-11	7.86124e-19	6.248e-31	4.58528e-50	1.03485e-79	4.20414e-125	4.26461e-194	1.74329e-298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000155	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	4.71765e-10	3.16467e-06	1.54395e-05	7.91847e-07	2.2488e-10	5.98943e-17	6.83597e-28	2.65789e-45	2.27838e-72	6.78914e-114	4.30145e-177	8.64794e-273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00016	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	2.77378e-10	1.23161e-06	1.61437e-05	2.18542e-06	2.06409e-09	2.93424e-15	3.88525e-25	5.7896e-41	1.1577e-65	1.21666e-103	1.60438e-161	3.05044e-249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000165	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	7.98946e-10	3.74419e-07	1.38871e-05	4.86174e-06	1.42641e-08	9.57198e-14	1.21047e-22	5.14069e-37	1.5344e-59	2.90787e-94	2.916e-147	1.15755e-227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00017	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.11554e-10	8.50059e-08	9.80882e-06	8.79191e-06	7.56243e-08	2.14594e-12	2.17105e-20	2.0039e-33	5.93145e-54	1.09625e-85	3.32248e-134	6.89632e-208	2.61647e-319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000175	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	1.29506e-08	5.66322e-06	1.30068e-05	3.12682e-07	3.40179e-11	2.34384e-18	3.66965e-30	7.40587e-49	7.59917e-78	2.98741e-122	9.11175e-190	6.13676e-292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00018	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	8.59759e-10	2.65269e-06	1.58085e-05	1.02261e-06	3.91181e-10	1.58618e-16	3.35832e-27	3.27856e-44	1.11434e-70	2.61628e-111	3.66146e-173	7.63585e-267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000185	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	1.98541e-11	9.9635e-07	1.58185e-05	2.67722e-06	3.33856e-09	6.98165e-15	1.62516e-24	5.60423e-40	3.9296e-64	2.70551e-101	5.97398e-158	7.77587e-244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00019	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	2.31111e-10	2.9449e-07	1.30307e-05	5.66638e-06	2.15812e-08	2.06675e-13	4.37878e-22	3.99898e-36	3.74736e-58	3.94027e-92	5.15585e-144	9.63748e-223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000195	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	3.05343e-10	6.61745e-08	8.81663e-06	9.77163e-06	1.07574e-07	4.24141e-12	6.88562e-20	1.27932e-32	1.07598e-52	9.49732e-84	2.99886e-131	2.09091e-203	1.54334e-312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0002	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	3.09527e-10	1.04618e-08	4.87689e-06	1.38091e-05	4.19986e-07	6.20175e-11	6.59679e-18	1.95872e-29	1.0264e-47	4.39211e-76	1.46757e-119	1.10782e-185	9.17924e-286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000205	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	3.09527e-10	8.9973e-10	2.18929e-06	1.6051e-05	1.30167e-06	6.62198e-10	4.00442e-16	1.52362e-26	3.55958e-43	4.46241e-69	7.40527e-109	1.94479e-169	3.29416e-261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00021	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	3.09527e-10	1.91152e-12	7.89046e-07	1.53699e-05	3.23914e-06	5.27827e-09	1.59608e-14	6.35982e-24	4.87428e-39	1.12773e-62	4.64228e-99	1.49634e-154	1.08524e-238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000215	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	3.09527e-10	6.18084e-11	2.24624e-07	1.21185e-05	6.53201e-06	3.20271e-08	4.31478e-13	1.4976e-21	2.84253e-35	7.94328e-57	4.28935e-90	6.52113e-141	4.8224e-218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00022	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	3.09527e-10	1.00737e-10	4.91245e-08	7.84649e-06	1.07524e-05	1.50503e-07	8.14713e-12	2.0825e-19	7.56627e-32	1.73089e-51	6.83252e-82	2.03657e-128	4.11357e-199	4.73071e-306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000225	1.75421e-07	3.1817e-08	8.70309e-09	2.74099e-09	9.12392e-10	3.09527e-10	1.05174e-10	7.7816e-09	4.15159e-06	1.45235e-05	5.56013e-07	1.10335e-10	1.783e-17	9.79535e-29	1.28399e-46	2.16633e-74	5.65535e-117	9.31071e-182	7.85136e-280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
